#title:Polar dataset

0.000000 0.000000
0.157080 0.293893
0.314159 0.475528
0.471239 0.475528
0.628319 0.293893
0.785398 0.000000
0.942478 -0.293893
1.099557 -0.475528
1.256637 -0.475528
1.413717 -0.293893
1.570796 -0.000000
1.727876 0.293893
1.884956 0.475528
2.042035 0.475528
2.199115 0.293893
2.356194 0.000000
2.513274 -0.293893
2.670354 -0.475528
2.827433 -0.475528
2.984513 -0.293893
3.141593 -0.000000
3.298672 0.293893
3.455752 0.475528
3.612832 0.475528
3.769911 0.293893
3.926991 0.000000
4.084070 -0.293893
4.241150 -0.475528
4.398230 -0.475528
4.555309 -0.293893
4.712389 -0.000000
4.869469 0.293893
5.026548 0.475528
5.183628 0.475528
5.340708 0.293893
5.497787 0.000000
5.654867 -0.293893
5.811946 -0.475528
5.969026 -0.475528
6.126106 -0.293893
6.283185 -0.000000
